Station Name,Iso Code,Date,Hour,Minute,Air Temperature [°C],Rain [mm]
Bagani,NA,1/5/2024,16,0,-9999,0
Bagani,NA,1/5/2024,17,0,-9999,0
Bagani,NA,1/5/2024,18,0,-9999,0
Bagani,NA,1/5/2024,19,0,-9999,0
Bagani,NA,1/5/2024,20,0,-9999,0
Bagani,NA,1/5/2024,21,0,-9999,0
Bagani,NA,1/5/2024,22,0,-9999,0
Bagani,NA,1/5/2024,23,0,-9999,0
Bagani,NA,1/5/2024,24,0,-9999,0
Bagani,NA,1/6/2024,1,0,-9999,0
Bagani,NA,1/6/2024,2,0,-9999,0
Bagani,NA,1/6/2024,3,0,-9999,0
Bagani,NA,1/6/2024,4,0,-9999,0
Bagani,NA,1/6/2024,5,0,-9999,0
Bagani,NA,1/6/2024,6,0,-9999,0
Bagani,NA,1/6/2024,7,0,-9999,0
Bagani,NA,1/6/2024,8,0,-9999,0
Bagani,NA,1/6/2024,9,0,-9999,0
Bagani,NA,1/6/2024,10,0,-9999,0
Bagani,NA,1/6/2024,11,0,-9999,0
Bagani,NA,1/6/2024,12,0,-9999,0
Bagani,NA,1/6/2024,13,0,-9999,0
Bagani,NA,1/6/2024,14,0,-9999,0
Bagani,NA,1/6/2024,15,0,-9999,0
Bagani,NA,1/6/2024,16,0,-9999,0
Bagani,NA,1/6/2024,17,0,-9999,0
Bagani,NA,1/6/2024,18,0,-9999,0
Bagani,NA,1/6/2024,19,0,-9999,0
Bagani,NA,1/6/2024,20,0,-9999,0
Bagani,NA,1/6/2024,21,0,-9999,0
Bagani,NA,1/6/2024,22,0,-9999,0
Bagani,NA,1/6/2024,23,0,-9999,0
Bagani,NA,1/6/2024,24,0,-9999,0
Bagani,NA,1/7/2024,1,0,-9999,0
Bagani,NA,1/7/2024,2,0,-9999,0
Bagani,NA,1/7/2024,3,0,-9999,0
Bagani,NA,1/7/2024,4,0,-9999,0
Bagani,NA,1/7/2024,5,0,-9999,0
Bagani,NA,1/7/2024,6,0,-9999,0
Bagani,NA,1/7/2024,7,0,-9999,0
Bagani,NA,1/7/2024,8,0,-9999,0
Bagani,NA,1/7/2024,9,0,-9999,0
Bagani,NA,1/7/2024,10,0,-9999,0
Bagani,NA,1/7/2024,11,0,-9999,0
Bagani,NA,1/7/2024,12,0,-9999,0
Bagani,NA,1/7/2024,13,0,-9999,0
Bagani,NA,1/7/2024,14,0,-9999,0
Bagani,NA,1/7/2024,15,0,-9999,0
Bagani,NA,1/7/2024,16,0,-9999,0
Bagani,NA,1/7/2024,17,0,-9999,0
Bagani,NA,1/7/2024,18,0,-9999,0
Bagani,NA,1/7/2024,19,0,-9999,0
Bagani,NA,1/7/2024,20,0,-9999,0
Bagani,NA,1/7/2024,21,0,-9999,0
Bagani,NA,1/7/2024,22,0,-9999,0
Bagani,NA,1/7/2024,23,0,-9999,0
Bagani,NA,1/7/2024,24,0,-9999,0
Bagani,NA,1/8/2024,1,0,-9999,0
Bagani,NA,1/8/2024,2,0,-9999,0
Bagani,NA,1/8/2024,3,0,-9999,0
Bagani,NA,1/8/2024,4,0,-9999,0
Bagani,NA,1/8/2024,5,0,-9999,0
Bagani,NA,1/8/2024,6,0,-9999,0
Bagani,NA,1/8/2024,7,0,-9999,0
Bagani,NA,1/8/2024,8,0,-9999,0
Bagani,NA,1/8/2024,9,0,-9999,0
Bagani,NA,1/8/2024,10,0,-9999,0
Bagani,NA,1/8/2024,11,0,-9999,0
Bagani,NA,1/8/2024,12,0,-9999,0
Bagani,NA,1/8/2024,13,0,-9999,0
Bagani,NA,1/8/2024,14,0,-9999,0
Bagani,NA,1/8/2024,15,0,-9999,0
Bagani,NA,1/8/2024,16,0,-9999,0
Bagani,NA,1/8/2024,17,0,-9999,0
Bagani,NA,1/8/2024,18,0,-9999,0
Bagani,NA,1/8/2024,19,0,-9999,0
Bagani,NA,1/8/2024,20,0,-9999,0
Bagani,NA,1/8/2024,21,0,-9999,0
Bagani,NA,1/8/2024,22,0,-9999,0
Bagani,NA,1/8/2024,23,0,-9999,0
Bagani,NA,1/8/2024,24,0,-9999,0
Bagani,NA,1/9/2024,1,0,-9999,0
Bagani,NA,1/9/2024,2,0,-9999,0
Bagani,NA,1/9/2024,3,0,-9999,0
Bagani,NA,1/9/2024,4,0,-9999,0
Bagani,NA,1/9/2024,5,0,-9999,0
Bagani,NA,1/9/2024,6,0,-9999,0
Bagani,NA,1/9/2024,7,0,-9999,0
Bagani,NA,1/9/2024,8,0,-9999,0
Bagani,NA,1/9/2024,9,0,-9999,0
Bagani,NA,1/9/2024,10,0,-9999,0
Bagani,NA,1/9/2024,11,0,-9999,0
Bagani,NA,1/9/2024,12,0,-9999,0
Bagani,NA,1/9/2024,13,0,-9999,0
Bagani,NA,1/9/2024,14,0,-9999,0
Bagani,NA,1/9/2024,15,0,-9999,0
Bagani,NA,1/9/2024,16,0,-9999,0
Bagani,NA,1/9/2024,17,0,-9999,0
Bagani,NA,1/9/2024,18,0,-9999,0
Bagani,NA,1/9/2024,19,0,-9999,0
Bagani,NA,1/9/2024,20,0,-9999,0
Bagani,NA,1/9/2024,21,0,-9999,0
Bagani,NA,1/9/2024,22,0,-9999,0
Bagani,NA,1/9/2024,23,0,-9999,0
Bagani,NA,1/9/2024,24,0,-9999,0
Bagani,NA,1/10/2024,1,0,-9999,0
Bagani,NA,1/10/2024,2,0,-9999,0
Bagani,NA,1/10/2024,3,0,-9999,0
Bagani,NA,1/10/2024,4,0,-9999,0
Bagani,NA,1/10/2024,5,0,-9999,0
Bagani,NA,1/10/2024,6,0,-9999,0
Bagani,NA,1/10/2024,7,0,-9999,0
Bagani,NA,1/10/2024,8,0,-9999,0
Bagani,NA,1/10/2024,9,0,-9999,0
Bagani,NA,1/10/2024,10,0,-9999,0
Bagani,NA,1/10/2024,11,0,-9999,0
Bagani,NA,1/10/2024,12,0,-9999,0
Bagani,NA,1/10/2024,13,0,-9999,0
Bagani,NA,1/10/2024,14,0,-9999,0
Bagani,NA,1/10/2024,15,0,-9999,0
Bagani,NA,1/10/2024,16,0,-9999,0
Bagani,NA,1/10/2024,17,0,-9999,0
Bagani,NA,1/10/2024,18,0,-9999,0
Bagani,NA,1/10/2024,19,0,-9999,0
Bagani,NA,1/10/2024,20,0,-9999,0
Bagani,NA,1/10/2024,21,0,-9999,0
Bagani,NA,1/10/2024,22,0,-9999,0
Bagani,NA,1/10/2024,23,0,-9999,0
Bagani,NA,1/10/2024,24,0,-9999,0
Bagani,NA,1/11/2024,1,0,-9999,0
Bagani,NA,1/11/2024,2,0,-9999,0
Bagani,NA,1/11/2024,3,0,-9999,0
Bagani,NA,1/11/2024,4,0,-9999,0
Bagani,NA,1/11/2024,5,0,-9999,0
Bagani,NA,1/11/2024,6,0,-9999,0
Bagani,NA,1/11/2024,7,0,-9999,0
Bagani,NA,1/11/2024,8,0,-9999,0
Bagani,NA,1/11/2024,9,0,-9999,0
Bagani,NA,1/11/2024,10,0,-9999,0
Bagani,NA,1/11/2024,11,0,-9999,0
Bagani,NA,1/11/2024,12,0,-9999,0
Bagani,NA,1/11/2024,13,0,-9999,0
Bagani,NA,1/11/2024,14,0,-9999,0
Bagani,NA,1/11/2024,15,0,-9999,0
Bagani,NA,1/11/2024,16,0,-9999,0
Bagani,NA,1/11/2024,17,0,-9999,0
Bagani,NA,1/11/2024,18,0,-9999,0
Bagani,NA,1/11/2024,19,0,-9999,0
Bagani,NA,1/11/2024,20,0,-9999,0
Bagani,NA,1/11/2024,21,0,-9999,0
Bagani,NA,1/11/2024,22,0,-9999,0
Bagani,NA,1/11/2024,23,0,-9999,0
Bagani,NA,1/11/2024,24,0,-9999,0
Bagani,NA,1/12/2024,1,0,-9999,0
Bagani,NA,1/12/2024,2,0,-9999,0
Bagani,NA,1/12/2024,3,0,-9999,0
Bagani,NA,1/12/2024,4,0,-9999,0
Bagani,NA,1/12/2024,5,0,-9999,0
Bagani,NA,1/12/2024,6,0,-9999,0
Bagani,NA,1/12/2024,7,0,-9999,0
Bagani,NA,1/12/2024,8,0,-9999,0
Bagani,NA,1/12/2024,9,0,-9999,0
Bagani,NA,1/12/2024,10,0,-9999,0
Bagani,NA,1/12/2024,11,0,-9999,0
Bagani,NA,1/12/2024,12,0,-9999,0
Bagani,NA,1/12/2024,13,0,-9999,0
Bagani,NA,1/12/2024,14,0,-9999,0
Bagani,NA,1/12/2024,15,0,-9999,0
Bagani,NA,1/12/2024,16,0,-9999,0
Bagani,NA,1/12/2024,17,0,-9999,0
Bagani,NA,1/12/2024,18,0,-9999,0
Bagani,NA,1/12/2024,19,0,-9999,0
Bagani,NA,1/12/2024,20,0,-9999,0
Bagani,NA,1/12/2024,21,0,-9999,0
Bagani,NA,1/12/2024,22,0,-9999,0
Bagani,NA,1/12/2024,23,0,-9999,0
Bagani,NA,1/12/2024,24,0,-9999,0
Bagani,NA,1/13/2024,1,0,-9999,0
Bagani,NA,1/13/2024,2,0,-9999,0
Bagani,NA,1/13/2024,3,0,-9999,0
Bagani,NA,1/13/2024,4,0,-9999,0
Bagani,NA,1/13/2024,5,0,-9999,0
Bagani,NA,1/13/2024,6,0,-9999,0
Bagani,NA,1/13/2024,7,0,-9999,0
Bagani,NA,1/13/2024,8,0,-9999,0
Bagani,NA,1/13/2024,9,0,-9999,0
Bagani,NA,1/13/2024,10,0,-9999,0
Bagani,NA,1/13/2024,11,0,-9999,0
Bagani,NA,1/13/2024,12,0,-9999,0
Bagani,NA,1/13/2024,13,0,-9999,0
Bagani,NA,1/13/2024,14,0,-9999,0
Bagani,NA,1/13/2024,15,0,-9999,0
Bagani,NA,1/13/2024,16,0,-9999,0
Bagani,NA,1/13/2024,17,0,-9999,0
Bagani,NA,1/13/2024,18,0,-9999,0
Bagani,NA,1/13/2024,19,0,-9999,0
Bagani,NA,1/13/2024,20,0,-9999,0
Bagani,NA,1/13/2024,21,0,-9999,0
Bagani,NA,1/13/2024,22,0,-9999,0
Bagani,NA,1/13/2024,23,0,-9999,0
Bagani,NA,1/13/2024,24,0,-9999,0
Bagani,NA,1/14/2024,1,0,-9999,0
Bagani,NA,1/14/2024,2,0,-9999,0
Bagani,NA,1/14/2024,3,0,-9999,0
Bagani,NA,1/14/2024,4,0,-9999,0
Bagani,NA,1/14/2024,5,0,-9999,0
Bagani,NA,1/14/2024,6,0,-9999,0
Bagani,NA,1/14/2024,7,0,-9999,0
Bagani,NA,1/14/2024,8,0,-9999,0
Bagani,NA,1/14/2024,9,0,-9999,0
Bagani,NA,1/14/2024,10,0,-9999,0
Bagani,NA,1/14/2024,11,0,-9999,0
Bagani,NA,1/14/2024,12,0,-9999,0
Bagani,NA,1/14/2024,13,0,-9999,0
Bagani,NA,1/14/2024,14,0,-9999,0
Bagani,NA,1/14/2024,15,0,-9999,0
Bagani,NA,1/14/2024,16,0,-9999,0
Bagani,NA,1/14/2024,17,0,-9999,0
Bagani,NA,1/14/2024,18,0,-9999,0
Bagani,NA,1/14/2024,19,0,-9999,0
Bagani,NA,1/14/2024,20,0,-9999,0
Bagani,NA,1/14/2024,21,0,-9999,0
Bagani,NA,1/14/2024,22,0,-9999,0
Bagani,NA,1/14/2024,23,0,-9999,0
Bagani,NA,1/14/2024,24,0,-9999,0
Bagani,NA,1/15/2024,1,0,-9999,0
Bagani,NA,1/15/2024,2,0,-9999,0
Bagani,NA,1/15/2024,3,0,-9999,0
Bagani,NA,1/15/2024,4,0,-9999,0
Bagani,NA,1/15/2024,5,0,-9999,0
Bagani,NA,1/15/2024,6,0,-9999,0
Bagani,NA,1/15/2024,7,0,-9999,0
Bagani,NA,1/15/2024,8,0,-9999,0
Bagani,NA,1/15/2024,9,0,-9999,0
Bagani,NA,1/15/2024,10,0,-9999,0
Bagani,NA,1/15/2024,11,0,-9999,0
Bagani,NA,1/15/2024,12,0,-9999,0
Bagani,NA,1/15/2024,13,0,-9999,0
Bagani,NA,1/15/2024,14,0,-9999,0
Bagani,NA,1/15/2024,15,0,-9999,0
Bagani,NA,1/15/2024,16,0,-9999,0
Bagani,NA,1/15/2024,17,0,-9999,0
Bagani,NA,1/15/2024,18,0,-9999,0
Bagani,NA,1/15/2024,24,0,-9999,0
Bagani,NA,1/16/2024,2,0,-9999,0
Bagani,NA,1/16/2024,3,0,-9999,0
Bagani,NA,1/16/2024,4,0,-9999,0
Bagani,NA,1/16/2024,5,0,-9999,0
Bagani,NA,1/16/2024,6,0,-9999,0
Bagani,NA,1/16/2024,7,0,-9999,0
Bagani,NA,1/16/2024,8,0,-9999,0
Bagani,NA,1/16/2024,9,0,-9999,0
Bagani,NA,1/16/2024,10,0,-9999,0
Bagani,NA,1/16/2024,11,0,-9999,0
Bagani,NA,1/16/2024,21,0,-9999,0
Bagani,NA,1/16/2024,23,0,-9999,0
Bagani,NA,1/16/2024,24,0,-9999,0
Bagani,NA,1/17/2024,1,0,-9999,0
Bagani,NA,1/17/2024,2,0,-9999,0
Bagani,NA,1/17/2024,3,0,-9999,0
Bagani,NA,1/17/2024,4,0,-9999,0
Bagani,NA,1/17/2024,5,0,-9999,0
Bagani,NA,1/17/2024,6,0,-9999,0
Bagani,NA,1/17/2024,9,0,-9999,0
Bagani,NA,1/17/2024,14,0,-9999,0
Bagani,NA,1/17/2024,19,0,-9999,0
Bagani,NA,1/17/2024,22,0,-9999,0
Bagani,NA,1/17/2024,24,0,-9999,0
Bagani,NA,1/18/2024,2,0,-9999,0
Bagani,NA,1/18/2024,3,0,-9999,0
Bagani,NA,1/18/2024,5,0,-9999,0
Bagani,NA,1/18/2024,6,0,-9999,0
Bagani,NA,1/18/2024,8,0,-9999,0
Bagani,NA,1/18/2024,9,0,-9999,0
Bagani,NA,1/18/2024,10,0,-9999,0
Bagani,NA,1/18/2024,11,0,-9999,0
Bagani,NA,1/18/2024,12,0,-9999,0
Bagani,NA,1/18/2024,13,0,-9999,0
Bagani,NA,1/18/2024,14,0,-9999,0
Bagani,NA,1/18/2024,15,0,-9999,0
Bagani,NA,1/18/2024,16,0,-9999,0
Bagani,NA,1/18/2024,17,0,-9999,0
Bagani,NA,1/18/2024,18,0,-9999,0
Bagani,NA,1/18/2024,19,0,-9999,0
Bagani,NA,1/18/2024,20,0,-9999,0
Bagani,NA,1/18/2024,21,0,-9999,0
Bagani,NA,1/18/2024,22,0,-9999,0
Bagani,NA,1/18/2024,23,0,-9999,0
Bagani,NA,1/18/2024,24,0,-9999,0
Bagani,NA,1/19/2024,1,0,-9999,0
Bagani,NA,1/19/2024,2,0,-9999,0
Bagani,NA,1/19/2024,3,0,-9999,0
Bagani,NA,1/19/2024,4,0,-9999,0
Bagani,NA,1/19/2024,5,0,-9999,0
Bagani,NA,1/19/2024,6,0,-9999,0
Bagani,NA,1/19/2024,7,0,-9999,0
Bagani,NA,1/19/2024,8,0,-9999,0
Bagani,NA,1/19/2024,9,0,-9999,0
Bagani,NA,1/19/2024,10,0,-9999,0
Bagani,NA,1/19/2024,11,0,-9999,0
Bagani,NA,1/19/2024,12,0,-9999,0
Bagani,NA,1/19/2024,13,0,-9999,0
Bagani,NA,1/19/2024,14,0,-9999,0
Bagani,NA,1/19/2024,15,0,-9999,0
Bagani,NA,1/19/2024,16,0,-9999,0
Bagani,NA,1/19/2024,17,0,-9999,0
Bagani,NA,1/19/2024,18,0,-9999,0
Bagani,NA,1/19/2024,19,0,-9999,0
Bagani,NA,1/19/2024,20,0,-9999,0
Bagani,NA,1/19/2024,21,0,-9999,0
Bagani,NA,1/19/2024,22,0,-9999,0
Bagani,NA,1/19/2024,23,0,-9999,0
Bagani,NA,1/19/2024,24,0,-9999,0
Bagani,NA,1/20/2024,1,0,-9999,0
Bagani,NA,1/20/2024,2,0,-9999,0
Bagani,NA,1/20/2024,3,0,-9999,0
Bagani,NA,1/20/2024,4,0,-9999,0
Bagani,NA,1/20/2024,5,0,-9999,0
Bagani,NA,1/20/2024,6,0,-9999,0
Bagani,NA,1/20/2024,7,0,-9999,0
Bagani,NA,1/20/2024,8,0,-9999,0
Bagani,NA,1/20/2024,9,0,-9999,0
Bagani,NA,1/20/2024,10,0,-9999,0
Bagani,NA,1/20/2024,11,0,-9999,0
Bagani,NA,1/20/2024,12,0,-9999,0
Bagani,NA,1/20/2024,13,0,-9999,0
Bagani,NA,1/20/2024,14,0,-9999,0
Bagani,NA,1/20/2024,15,0,-9999,0
Bagani,NA,1/20/2024,16,0,-9999,0
Bagani,NA,1/20/2024,17,0,-9999,0
Bagani,NA,1/20/2024,18,0,-9999,0
Bagani,NA,1/20/2024,19,0,-9999,0
Bagani,NA,1/20/2024,20,0,-9999,0
Bagani,NA,1/20/2024,21,0,-9999,0
Bagani,NA,1/20/2024,22,0,-9999,0
Bagani,NA,1/20/2024,23,0,-9999,0
Bagani,NA,1/20/2024,24,0,-9999,0
Bagani,NA,1/21/2024,1,0,-9999,0
Bagani,NA,1/21/2024,2,0,-9999,0
Bagani,NA,1/21/2024,3,0,-9999,0
Bagani,NA,1/21/2024,4,0,-9999,0
Bagani,NA,1/21/2024,5,0,-9999,0
Bagani,NA,1/21/2024,6,0,-9999,0
Bagani,NA,1/21/2024,7,0,-9999,0
Bagani,NA,1/21/2024,8,0,-9999,0
Bagani,NA,1/21/2024,9,0,-9999,0
Bagani,NA,1/21/2024,10,0,-9999,0
Bagani,NA,1/21/2024,11,0,-9999,0
Bagani,NA,1/21/2024,12,0,-9999,0
Bagani,NA,1/21/2024,13,0,-9999,0
Bagani,NA,1/21/2024,14,0,-9999,0
Bagani,NA,1/21/2024,15,0,-9999,0
Bagani,NA,1/21/2024,16,0,-9999,0
Bagani,NA,1/21/2024,17,0,-9999,0
Bagani,NA,1/21/2024,18,0,-9999,0
Bagani,NA,1/21/2024,19,0,-9999,0
Bagani,NA,1/21/2024,20,0,-9999,0
Bagani,NA,1/21/2024,21,0,-9999,0
Bagani,NA,1/21/2024,22,0,-9999,0
Bagani,NA,1/21/2024,23,0,-9999,0
Bagani,NA,1/21/2024,24,0,-9999,0
Bagani,NA,1/22/2024,1,0,-9999,0
Bagani,NA,1/22/2024,2,0,-9999,0
Bagani,NA,1/22/2024,3,0,-9999,0
Bagani,NA,1/22/2024,4,0,-9999,0
Bagani,NA,1/22/2024,5,0,-9999,0
Bagani,NA,1/22/2024,6,0,-9999,0
Bagani,NA,1/22/2024,7,0,-9999,0
Bagani,NA,1/22/2024,8,0,-9999,0
Bagani,NA,1/22/2024,9,0,-9999,0
Bagani,NA,1/22/2024,10,0,-9999,0
Bagani,NA,1/22/2024,11,0,-9999,0
Bagani,NA,1/22/2024,12,0,-9999,0
Bagani,NA,1/22/2024,13,0,-9999,0
Bagani,NA,1/22/2024,14,0,-9999,0
Bagani,NA,1/22/2024,15,0,-9999,0
Bagani,NA,1/22/2024,16,0,-9999,0
Bagani,NA,1/22/2024,17,0,-9999,0
Bagani,NA,1/22/2024,18,0,-9999,0
Bagani,NA,1/22/2024,19,0,-9999,0
Bagani,NA,1/22/2024,20,0,-9999,0
Bagani,NA,1/22/2024,21,0,-9999,0
Bagani,NA,1/22/2024,22,0,-9999,0
Bagani,NA,1/22/2024,23,0,-9999,0
Bagani,NA,1/22/2024,24,0,-9999,0
Bagani,NA,1/23/2024,1,0,-9999,0
Bagani,NA,1/23/2024,2,0,-9999,0
Bagani,NA,1/23/2024,3,0,-9999,0
Bagani,NA,1/23/2024,4,0,-9999,0
Bagani,NA,1/23/2024,5,0,-9999,0
Bagani,NA,1/23/2024,6,0,-9999,0
Bagani,NA,1/23/2024,7,0,-9999,0
Bagani,NA,1/23/2024,8,0,-9999,0
Bagani,NA,1/23/2024,9,0,-9999,0
Bagani,NA,1/23/2024,10,0,-9999,0
Bagani,NA,1/23/2024,11,0,-9999,0
Bagani,NA,1/23/2024,12,0,-9999,0
Bagani,NA,1/23/2024,13,0,-9999,0
Bagani,NA,1/23/2024,14,0,-9999,0
Bagani,NA,1/23/2024,15,0,-9999,0
Bagani,NA,1/23/2024,16,0,-9999,0
Bagani,NA,1/23/2024,17,0,-9999,0
Bagani,NA,1/23/2024,18,0,-9999,0
Bagani,NA,1/23/2024,19,0,-9999,0
Bagani,NA,1/23/2024,20,0,-9999,0
Bagani,NA,1/23/2024,21,0,-9999,0
Bagani,NA,1/23/2024,22,0,-9999,0
Bagani,NA,1/23/2024,23,0,-9999,0
Bagani,NA,1/23/2024,24,0,-9999,0
Bagani,NA,1/24/2024,1,0,-9999,0
Bagani,NA,1/24/2024,2,0,-9999,0
Bagani,NA,1/24/2024,3,0,-9999,0
Bagani,NA,1/24/2024,4,0,-9999,0
Bagani,NA,1/24/2024,5,0,-9999,0
Bagani,NA,1/24/2024,6,0,-9999,0
Bagani,NA,1/24/2024,7,0,-9999,0
Bagani,NA,1/24/2024,8,0,-9999,0
Bagani,NA,1/24/2024,9,0,-9999,0
Bagani,NA,1/24/2024,10,0,-9999,0
Bagani,NA,1/24/2024,11,0,-9999,0
Bagani,NA,1/24/2024,12,0,-9999,0
Bagani,NA,1/24/2024,13,0,-9999,0
Bagani,NA,1/24/2024,14,0,-9999,0
Bagani,NA,1/24/2024,15,0,-9999,0
Bagani,NA,1/24/2024,16,0,-9999,0
Bagani,NA,1/24/2024,17,0,-9999,0
Bagani,NA,1/24/2024,18,0,-9999,0
Bagani,NA,1/24/2024,19,0,-9999,0
Bagani,NA,1/24/2024,20,0,-9999,0
Bagani,NA,1/24/2024,21,0,-9999,0
Bagani,NA,1/24/2024,22,0,-9999,0
Bagani,NA,1/24/2024,23,0,-9999,0
Bagani,NA,1/24/2024,24,0,-9999,0
Bagani,NA,1/25/2024,1,0,-9999,0
Bagani,NA,1/25/2024,2,0,-9999,0
Bagani,NA,1/25/2024,3,0,-9999,0
Bagani,NA,1/25/2024,4,0,-9999,0
Bagani,NA,1/25/2024,5,0,-9999,0
Bagani,NA,1/25/2024,6,0,-9999,0
Bagani,NA,1/25/2024,7,0,-9999,0
Bagani,NA,1/25/2024,8,0,-9999,0
Bagani,NA,1/25/2024,9,0,-9999,0
Bagani,NA,1/25/2024,10,0,-9999,0
Bagani,NA,1/25/2024,11,0,-9999,0
Bagani,NA,1/25/2024,12,0,-9999,0
Bagani,NA,1/25/2024,13,0,-9999,0
