Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Bagani,NA,2/1/2024,1,0,-9999,0
Bagani,NA,2/1/2024,2,0,-9999,0
Bagani,NA,2/1/2024,3,0,-9999,0
Bagani,NA,2/1/2024,4,0,-9999,0
Bagani,NA,2/1/2024,5,0,-9999,0
Bagani,NA,2/1/2024,6,0,-9999,0
Bagani,NA,2/1/2024,7,0,-9999,0
Bagani,NA,2/1/2024,8,0,-9999,0
Bagani,NA,2/1/2024,9,0,-9999,0
Bagani,NA,2/1/2024,10,0,-9999,0
Bagani,NA,2/1/2024,11,0,-9999,0
Bagani,NA,2/1/2024,12,0,-9999,0
Bagani,NA,2/1/2024,13,0,-9999,0
Bagani,NA,2/1/2024,14,0,-9999,0
Bagani,NA,2/1/2024,15,0,-9999,0
Bagani,NA,2/1/2024,16,0,-9999,0
Bagani,NA,2/1/2024,17,0,-9999,0
Bagani,NA,2/1/2024,18,0,-9999,0
Bagani,NA,2/1/2024,19,0,-9999,0
Bagani,NA,2/1/2024,20,0,-9999,0
Bagani,NA,2/1/2024,21,0,-9999,0
Bagani,NA,2/1/2024,22,0,-9999,0
Bagani,NA,2/1/2024,23,0,-9999,0
Bagani,NA,2/1/2024,24,0,-9999,0
Bagani,NA,2/2/2024,1,0,-9999,0
Bagani,NA,2/2/2024,2,0,-9999,0
Bagani,NA,2/2/2024,3,0,-9999,0
Bagani,NA,2/2/2024,4,0,-9999,0
Bagani,NA,2/2/2024,5,0,-9999,0
Bagani,NA,2/2/2024,6,0,-9999,0
Bagani,NA,2/2/2024,7,0,-9999,0
Bagani,NA,2/2/2024,8,0,-9999,0
Bagani,NA,2/2/2024,9,0,-9999,0
Bagani,NA,2/2/2024,10,0,-9999,0
Bagani,NA,2/2/2024,11,0,-9999,0
Bagani,NA,2/2/2024,12,0,-9999,0
Bagani,NA,2/2/2024,13,0,-9999,0
Bagani,NA,2/2/2024,14,0,-9999,0
Bagani,NA,2/2/2024,15,0,-9999,0
Bagani,NA,2/2/2024,16,0,-9999,0
Bagani,NA,2/2/2024,17,0,-9999,0
Bagani,NA,2/2/2024,18,0,-9999,0
Bagani,NA,2/2/2024,19,0,-9999,0
Bagani,NA,2/2/2024,20,0,-9999,0
Bagani,NA,2/2/2024,21,0,-9999,0
Bagani,NA,2/2/2024,22,0,-9999,0
Bagani,NA,2/2/2024,23,0,-9999,0
Bagani,NA,2/2/2024,24,0,-9999,0
Bagani,NA,2/3/2024,1,0,-9999,0
Bagani,NA,2/3/2024,2,0,-9999,0
Bagani,NA,2/3/2024,3,0,-9999,0
Bagani,NA,2/3/2024,4,0,-9999,0
Bagani,NA,2/3/2024,5,0,-9999,0
Bagani,NA,2/3/2024,8,0,-9999,0
Bagani,NA,2/3/2024,11,0,-9999,0
Bagani,NA,2/3/2024,12,0,-9999,0
Bagani,NA,2/3/2024,13,0,-9999,0
Bagani,NA,2/3/2024,14,0,-9999,0
Bagani,NA,2/3/2024,16,0,-9999,0
Bagani,NA,2/3/2024,18,0,-9999,0
Bagani,NA,2/3/2024,19,0,-9999,0
Bagani,NA,2/3/2024,20,0,-9999,0
Bagani,NA,2/3/2024,21,0,-9999,0
Bagani,NA,2/3/2024,22,0,-9999,0
Bagani,NA,2/3/2024,23,0,-9999,0
Bagani,NA,2/3/2024,24,0,-9999,0
Bagani,NA,2/4/2024,1,0,-9999,0
Bagani,NA,2/4/2024,2,0,-9999,0
Bagani,NA,2/4/2024,3,0,-9999,0
Bagani,NA,2/4/2024,4,0,-9999,0
Bagani,NA,2/4/2024,5,0,-9999,0
Bagani,NA,2/4/2024,6,0,-9999,0
Bagani,NA,2/4/2024,7,0,-9999,0
Bagani,NA,2/4/2024,8,0,-9999,0
Bagani,NA,2/4/2024,9,0,-9999,0
Bagani,NA,2/4/2024,10,0,-9999,0
Bagani,NA,2/4/2024,11,0,-9999,0
Bagani,NA,2/4/2024,12,0,-9999,0
Bagani,NA,2/4/2024,13,0,-9999,0
Bagani,NA,2/4/2024,14,0,-9999,0
Bagani,NA,2/4/2024,15,0,-9999,0
Bagani,NA,2/4/2024,16,0,-9999,0
Bagani,NA,2/4/2024,17,0,-9999,0
Bagani,NA,2/4/2024,18,0,-9999,0
Bagani,NA,2/4/2024,19,0,-9999,0
Bagani,NA,2/4/2024,20,0,-9999,0
Bagani,NA,2/4/2024,21,0,-9999,0
Bagani,NA,2/4/2024,22,0,-9999,0
Bagani,NA,2/4/2024,23,0,-9999,0
Bagani,NA,2/4/2024,24,0,-9999,0
Bagani,NA,2/5/2024,1,0,-9999,0
Bagani,NA,2/5/2024,2,0,-9999,0
Bagani,NA,2/5/2024,3,0,-9999,0
Bagani,NA,2/5/2024,4,0,-9999,0
Bagani,NA,2/5/2024,5,0,-9999,0
Bagani,NA,2/5/2024,6,0,-9999,0
Bagani,NA,2/5/2024,7,0,-9999,0
Bagani,NA,2/5/2024,8,0,-9999,0
Bagani,NA,2/5/2024,9,0,-9999,0
Bagani,NA,2/5/2024,10,0,-9999,0
Bagani,NA,2/5/2024,11,0,-9999,0
Bagani,NA,2/5/2024,12,0,-9999,0
Bagani,NA,2/5/2024,13,0,-9999,0
Bagani,NA,2/5/2024,14,0,-9999,0
Bagani,NA,2/5/2024,15,0,-9999,0
Bagani,NA,2/5/2024,16,0,-9999,0
Bagani,NA,2/5/2024,17,0,-9999,0
Bagani,NA,2/5/2024,18,0,-9999,0
Bagani,NA,2/5/2024,19,0,-9999,0
Bagani,NA,2/5/2024,20,0,-9999,0
Bagani,NA,2/5/2024,21,0,-9999,0
Bagani,NA,2/5/2024,22,0,-9999,0
Bagani,NA,2/5/2024,23,0,-9999,0
Bagani,NA,2/5/2024,24,0,-9999,0
Bagani,NA,2/6/2024,1,0,-9999,0
Bagani,NA,2/6/2024,2,0,-9999,0
Bagani,NA,2/6/2024,3,0,-9999,0
Bagani,NA,2/6/2024,4,0,-9999,0
Bagani,NA,2/6/2024,5,0,-9999,0
Bagani,NA,2/6/2024,6,0,-9999,0
Bagani,NA,2/6/2024,7,0,-9999,0
Bagani,NA,2/6/2024,8,0,-9999,0
Bagani,NA,2/6/2024,9,0,-9999,0
Bagani,NA,2/6/2024,10,0,-9999,0
Bagani,NA,2/6/2024,11,0,-9999,0
Bagani,NA,2/6/2024,12,0,-9999,0
Bagani,NA,2/6/2024,13,0,-9999,0
Bagani,NA,2/6/2024,14,0,-9999,0
Bagani,NA,2/6/2024,15,0,-9999,0
Bagani,NA,2/6/2024,17,0,-9999,0
Bagani,NA,2/6/2024,18,0,-9999,0
